capturado_utc,puerto,frontera,puerto_nombre,cruce,clase,carril,estado,minutos,carriles_abiertos,hora_cbp,puerto_estado,sentido
2023-02-13T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,2,,SANDAG,,norte
2023-02-13T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,10,,SANDAG,,norte
2023-02-13T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,14,,SANDAG,,norte
2023-02-13T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,14,,SANDAG,,norte
2023-02-13T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,30,,SANDAG,,norte
2023-02-13T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,8,,SANDAG,,norte
2023-02-13T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,4,,SANDAG,,norte
2023-02-13T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,15,,SANDAG,,norte
2023-02-13T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,61,,SANDAG,,norte
2023-02-14T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,14,,SANDAG,,norte
2023-02-14T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,27,,SANDAG,,norte
2023-02-14T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,13,,SANDAG,,norte
2023-02-14T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,23,,SANDAG,,norte
2023-02-14T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,12,,SANDAG,,norte
2023-02-14T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,36,,SANDAG,,norte
2023-02-14T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,3,,SANDAG,,norte
2023-02-14T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,27,,SANDAG,,norte
2023-02-14T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,24,,SANDAG,,norte
2023-02-14T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,4,,SANDAG,,norte
2023-02-15T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,10,,SANDAG,,norte
2023-02-15T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,3,,SANDAG,,norte
2023-02-15T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,38,,SANDAG,,norte
2023-02-15T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,21,,SANDAG,,norte
2023-02-15T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,11,,SANDAG,,norte
2023-02-15T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,23,,SANDAG,,norte
2023-02-15T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,21,,SANDAG,,norte
2023-02-15T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,7,,SANDAG,,norte
2023-02-15T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,41,,SANDAG,,norte
2023-02-15T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,30,,SANDAG,,norte
2023-02-16T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,21,,SANDAG,,norte
2023-02-16T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,31,,SANDAG,,norte
2023-02-16T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,8,,SANDAG,,norte
2023-02-16T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,15,,SANDAG,,norte
2023-02-16T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,8,,SANDAG,,norte
2023-02-16T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,26,,SANDAG,,norte
2023-02-16T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,3,,SANDAG,,norte
2023-02-16T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,5,,SANDAG,,norte
2023-02-16T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,30,,SANDAG,,norte
2023-02-16T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,32,,SANDAG,,norte
2023-02-17T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,21,,SANDAG,,norte
2023-02-17T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,6,,SANDAG,,norte
2023-02-17T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,8,,SANDAG,,norte
2023-02-17T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,28,,SANDAG,,norte
2023-02-17T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,12,,SANDAG,,norte
2023-02-17T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,13,,SANDAG,,norte
2023-02-17T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,12,,SANDAG,,norte
2023-02-17T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,4,,SANDAG,,norte
2023-02-17T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,23,,SANDAG,,norte
2023-02-17T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,23,,SANDAG,,norte
2023-02-18T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,30,,SANDAG,,norte
2023-02-18T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2023-02-18T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,6,,SANDAG,,norte
2023-02-18T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,9,,SANDAG,,norte
2023-02-18T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,22,,SANDAG,,norte
2023-02-18T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,13,,SANDAG,,norte
2023-02-18T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,29,,SANDAG,,norte
2023-02-18T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,30,,SANDAG,,norte
2023-02-18T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,4,,SANDAG,,norte
2023-02-19T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,43,,SANDAG,,norte
2023-02-19T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,6,,SANDAG,,norte
2023-02-19T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,56,,SANDAG,,norte
2023-02-19T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,3,,SANDAG,,norte
2023-02-19T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,10,,SANDAG,,norte
2023-02-19T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,98,,SANDAG,,norte
2023-02-19T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,5,,SANDAG,,norte
2023-02-20T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,10,,SANDAG,,norte
2023-02-20T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,2,,SANDAG,,norte
2023-02-20T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,21,,SANDAG,,norte
2023-02-20T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,30,,SANDAG,,norte
2023-02-20T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,27,,SANDAG,,norte
2023-02-20T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,49,,SANDAG,,norte
2023-02-20T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,57,,SANDAG,,norte
